# 示例词表：格式为「词 <TAB> 等级 <TAB> 拼音」
# 这份文件是给测试和演示用的精选子集，等级为近似值，不是完整 HSK 表。
# 真正使用时请替换成完整的 HSK 词表，格式保持一致即可。
我	1	wǒ
你	1	nǐ
他	1	tā
她	1	tā
我们	1	wǒmen
这	1	zhè
这个	1	zhège
那	1	nà
谁	1	shéi
什么	1	shénme
怎么	1	zěnme
的	1	de
了	1	le
是	1	shì
不	1	bù
没有	1	méiyǒu
在	1	zài
和	1	hé
也	1	yě
都	1	dōu
很	1	hěn
太	1	tài
就	1	jiù
还	1	hái
会	1	huì
能	1	néng
要	1	yào
想	1	xiǎng
去	1	qù
来	1	lái
吃	1	chī
喝	1	hē
看	1	kàn
听	1	tīng
说	1	shuō
读	1	dú
写	1	xiě
学	1	xué
学生	1	xuésheng
老师	1	lǎoshī
中国	1	Zhōngguó
中文	1	Zhōngwén
人	1	rén
朋友	1	péngyou
家	1	jiā
学校	1	xuéxiào
书	1	shū
水	1	shuǐ
茶	1	chá
米饭	1	mǐfàn
苹果	1	píngguǒ
妈妈	1	māma
爸爸	1	bàba
儿子	1	érzi
女儿	1	nǚ'ér
天	1	tiān
年	1	nián
月	1	yuè
今天	1	jīntiān
明天	1	míngtiān
昨天	1	zuótiān
现在	1	xiànzài
时候	1	shíhou
星期	1	xīngqī
上午	1	shàngwǔ
下午	1	xiàwǔ
早上	1	zǎoshang
晚上	1	wǎnshang
多少	1	duōshao
几	1	jǐ
个	1	gè
钱	1	qián
谢谢	1	xièxie
对不起	1	duìbuqǐ
没关系	1	méiguānxi
再见	1	zàijiàn
你好	1	nǐhǎo
请	1	qǐng
坐	1	zuò
休息	1	xiūxi
工作	1	gōngzuò
睡觉	1	shuìjiào
起床	1	qǐchuáng
电视	1	diànshì
电影	1	diànyǐng
音乐	1	yīnyuè
天气	1	tiānqì
热	1	rè
冷	1	lěng
下雨	1	xiàyǔ
高兴	1	gāoxìng
认识	1	rènshi
名字	1	míngzi
叫	1	jiào
岁	1	suì
大	1	dà
小	1	xiǎo
多	1	duō
少	1	shǎo
高	1	gāo
有	1	yǒu
一	1	yī
好	1	hǎo
学习	2	xuéxí
一起	2	yīqǐ
同学	2	tóngxué
每	2	měi
次	2	cì
只	2	zhǐ
走	2	zǒu
做	2	zuò
问	2	wèn
语言	3	yǔyán
世界	3	shìjiè
方法	3	fāngfǎ
意思	3	yìsi
分	3	fēn
钟	3	zhōng
慢	3	màn
喜欢	2	xǐhuan
因为	2	yīnwèi
所以	2	suǒyǐ
可以	2	kěyǐ
觉得	2	juéde
知道	2	zhīdào
告诉	2	gàosu
已经	2	yǐjīng
开始	2	kāishǐ
希望	2	xīwàng
帮助	2	bāngzhù
准备	2	zhǔnbèi
旅行	2	lǚxíng
明白	2	míngbai
快乐	2	kuàilè
冬天	2	dōngtiān
夏天	2	xiàtiān
运动	2	yùndòng
游泳	2	yóuyǒng
图书馆	2	túshūguǎn
教室	2	jiàoshì
机场	2	jīchǎng
火车站	2	huǒchēzhàn
颜色	2	yánsè
便宜	2	piányi
贵	2	guì
说话	2	shuōhuà
弟弟	2	dìdi
姐姐	2	jiějie
哥哥	2	gēge
爷爷	2	yéye
奶奶	2	nǎinai
