# 本文件由 tools/convert_hsk30.ps1 生成，请勿手工编辑。
#
# 词源：HSK 3.0《国际中文教育中文水平等级标准》(GF 0025-2021) 词汇表
# 数据来源：https://github.com/ivankra/hsk30 （MIT License）
# 等级 7 代表官方标准中的「7-9 级」高级段。
# 格式：词 <TAB> 等级 <TAB> 拼音
爱	1	ài
爱好	1	àihào
八	1	bā
爸爸	1	bàba
爸	1	bà
吧	1	ba
白	1	bái
白天	1	báitiān
百	1	bǎi
班	1	bān
半	1	bàn
半年	1	bàn nián
半天	1	bàntiān
帮	1	bāng
帮忙	1	bāngmáng
包	1	bāo
包子	1	bāozi
杯	1	bēi
杯子	1	bēizi
北	1	běi
北边	1	běibian
北京	1	Běijīng
本	1	běn
本子	1	běnzi
比	1	bǐ
别	1	bié
别的	1	biéde
别人	1	biérén
病	1	bìng
病人	1	bìngrén
不大	1	bù dà
不对	1	bùduì
不客气	1	bù kèqì
不用	1	bùyòng
不	1	bù
菜	1	cài
茶	1	chá
差	1	chà
常	1	cháng
常常	1	chángcháng
唱	1	chàng
唱歌	1	chànggē
车	1	chē
车票	1	chēpiào
车上	1	chē shang
车站	1	chēzhàn
吃	1	chī
吃饭	1	chīfàn
出	1	chū
出来	1	chūlái
出去	1	chūqù
穿	1	chuān
床	1	chuáng
次	1	cì
从	1	cóng
错	1	cuò
打	1	dǎ
打车	1	dǎchē
打电话	1	dǎ diànhuà
打开	1	dǎkāi
打球	1	dǎ qiú
大	1	dà
大学	1	dàxué
大学生	1	dàxuéshēng
到	1	dào
得到	1	dédào
地	1	de
的	1	de
等	1	děng
地点	1	dìdiǎn
地方	1	dìfang
地上	1	dìshang
地图	1	dìtú
弟弟	1	dìdi
弟	1	dì
第	1	dì
第二	1	dì-èr
点	1	diǎn
电	1	diàn
电话	1	diànhuà
电脑	1	diànnǎo
电视	1	diànshì
电视机	1	diànshìjī
电影	1	diànyǐng
电影院	1	diànyǐngyuàn
东	1	dōng
东边	1	dōngbian
东西	1	dōngxi
动	1	dòng
动作	1	dòngzuò
都	1	dōu
读	1	dú
读书	1	dúshū
对	1	duì
对不起	1	duìbuqǐ
多	1	duō
多少	1	duōshao
饿	1	è
儿子	1	érzi
二	1	èr
饭	1	fàn
饭店	1	fàndiàn
房间	1	fángjiān
房子	1	fángzi
放	1	fàng
放假	1	fàngjià
放学	1	fàngxué
飞	1	fēi
飞机	1	fēijī
非常	1	fēicháng
分	1	fēn
风	1	fēng
干	1	gān
干净	1	gānjìng
干什么	1	gàn shénme
高	1	gāo
高兴	1	gāoxìng
告诉	1	gàosu
哥哥	1	gēge
哥	1	gē
歌	1	gē
个	1	gè
给	1	gěi
跟	1	gēn
工人	1	gōngrén
工作	1	gōngzuò
关	1	guān
关上	1	guānshang
贵	1	guì
国	1	guó
国家	1	guójiā
国外	1	guó wài
过	1	guò
还	1	hái
还是	1	háishi
还有	1	hái yǒu
孩子	1	háizi
汉语	1	Hànyǔ
汉字	1	Hànzì
好	1	hǎo
好吃	1	hǎochī
好看	1	hǎokàn
好听	1	hǎotīng
好玩儿	1	hǎowánr
号	1	hào
喝	1	hē
和	1	hé
很	1	hěn
后	1	hòu
后边	1	hòubian
后天	1	hòutiān
花	1	huā
话	1	huà
坏	1	huài
回	1	huí
回答	1	huídá
回到	1	huídào
回家	1	huí jiā
回来	1	huílái
回去	1	huíqù
会	1	huì
火车	1	huǒchē
机场	1	jīchǎng
机票	1	jīpiào
鸡蛋	1	jīdàn
几	1	jǐ
记	1	jì
记得	1	jìde
记住	1	jìzhù
家	1	jiā
家里	1	jiā li
家人	1	jiārén
间	1	jiān
见	1	jiàn
见面	1	jiànmiàn
教	1	jiāo
叫	1	jiào
教学楼	1	jiàoxuélóu
姐姐	1	jiějie
姐	1	jiě
介绍	1	jièshào
今年	1	jīnnián
今天	1	jīntiān
进	1	jìn
进来	1	jìnlái
进去	1	jìnqù
九	1	jiǔ
就	1	jiù
觉得	1	juéde
开	1	kāi
开车	1	kāichē
开会	1	kāihuì
开玩笑	1	kāi wánxiào
看	1	kàn
看病	1	kànbìng
看到	1	kàndào
看见	1	kànjiàn
